U+300CB	𰃋	nsrhu
U+300CC	𰃌	fuks
U+300CD	𰃍	jrfmu
U+300CE	𰃎	halau
U+300CF	𰃏	muhjg
U+300D0	𰃐	fuiuh
U+300D1	𰃑	fuelw
U+300D2	𰃒	fuphp
U+300D3	𰃓	jmhxu
U+300D4	𰃔	fufbu
U+300D5	𰃕	fumbu
U+300D5	𰃕	fumbv
U+300D6	𰃖	ott
U+300D7	𰃗	ojb
U+300D8	𰃘	ofk
U+300D9	𰃙	hro
U+300DA	𰃚	ojwj
U+300DB	𰃛	mto
U+300DC	𰃜	optd
U+300DD	𰃝	tjni
U+300DE	𰃞	oyc
U+300DF	𰃟	auc
U+300E0	𰃠	ciob
U+300E1	𰃡	rnc
U+300E2	𰃢	cspa
U+300E3	𰃣	ycomr
U+300E4	𰃤	fkng
U+300E5	𰃥	ycmwv
U+300E6	𰃦	hb
U+300E7	𰃧	bhg
U+300E7	𰃧	bmg
U+300E8	𰃨	bime
U+300E9	𰃩	bta
U+300EA	𰃪	bvvm
U+300EB	𰃫	jrb
U+300EC	𰃬	tboin
U+300ED	𰃭	bobob
U+300EE	𰃮	fb
U+300EF	𰃯	bmfj
U+300F0	𰃰	blw
U+300F1	𰃱	bvvw
U+300F2	𰃲	bedd
U+300F3	𰃳	byjo
U+300F4	𰃴	byjc
U+300F5	𰃵	imj
U+300F6	𰃶	imhnk
U+300F7	𰃷	imosu
U+300F8	𰃸	imhs
U+300F8	𰃸	imis
U+300F9	𰃹	imyt
U+300FA	𰃺	imdhe
U+300FB	𰃻	imppj
U+300FC	𰃼	imkn
U+300FD	𰃽	impa
U+300FE	𰃾	imiav
U+300FF	𰃿	imjnk
U+30100	𰄀	imqyt
U+30101	𰄁	imikh
U+30102	𰄂	imjir
U+30103	𰄃	immwg
U+30104	𰄄	imtbn
U+30105	𰄅	imjbf
U+30106	𰄆	imfbu
U+30107	𰄇	iisp
U+30107	𰄇	ilsp
U+30108	𰄈	immbm
U+30108	𰄈	immbs
U+30109	𰄉	imlnb
U+3010A	𰄊	imsma
U+3010B	𰄋	ildw
U+3010C	𰄌	imbta
U+3010D	𰄍	imygq
U+3010E	𰄎	imndb
U+3010F	𰄏	imnwa
U+30110	𰄐	hnomb
U+30111	𰄑	ossu
U+30112	𰄒	suysm
U+30113	𰄓	bshem
U+30113	𰄓	bshey
U+30114	𰄔	uuuu
U+30115	𰄕	uukld
U+30116	𰄖	kibss
U+30117	𰄗	bsmcp
U+30118	𰄘	uuykj
U+30119	𰄙	cln
U+3011A	𰄚	smln
U+3011B	𰄛	shpi
U+3011B	𰄛	shpm
U+3011C	𰄜	pln
U+3011D	𰄝	nhln
U+3011E	𰄞	qiln
U+3011F	𰄟	mfln
U+30120	𰄠	mish
U+30121	𰄡	shphh
U+30122	𰄢	yksh
U+30123	𰄣	lpsh
U+30124	𰄤	shpru
U+30124	𰄤	shpsu
U+30125	𰄥	shyk
U+30125	𰄥	siyk
U+30125	𰄥	skyk
U+30126	𰄦	ytsh
U+30127	𰄧	shmnn
U+30128	𰄨	kqln
U+30129	𰄩	huln
U+3012A	𰄪	kdsh
U+3012B	𰄫	shhbr
U+3012C	𰄬	ykln
U+3012D	𰄭	mbln
U+3012E	𰄮	shije
U+3012F	𰄯	dtln
U+30130	𰄰	ngln
U+30131	𰄱	chdm
U+30132	𰄲	nsfh
U+30133	𰄳	gmsh
U+30134	𰄴	kush
U+30135	𰄵	knsh
U+30136	𰄶	shikh
U+30137	𰄷	shqhr
U+30138	𰄸	shbcn
U+30139	𰄹	bclnh
U+3013A	𰄺	ybln
U+3013B	𰄻	yjln
U+3013C	𰄼	knam
U+3013D	𰄽	vlsh
U+3013E	𰄾	jkln
U+3013F	𰄿	gtsh
U+30140	𰅀	shddd
U+30141	𰅁	shjrn
U+30142	𰅂	saln
U+30143	𰅃	ddcsh
U+30144	𰅄	jfln
U+30145	𰅅	tsmnn
U+30146	𰅆	dnjbj
U+30147	𰅇	yksh
U+30148	𰅈	nuln
U+30148	𰅈	suln
U+30149	𰅉	ttks
U+3014A	𰅊	amks
U+3014B	𰅋	lmpks
U+3014C	𰅌	ksrvp
U+3014D	𰅍	ktks
U+3014E	𰅎	kshon
U+3014F	𰅏	krys
U+30150	𰅐	nsbt
U+30151	𰅑	twks
U+30152	𰅒	kvks
U+30153	𰅓	auks
U+30153	𰅓	huks
U+30154	𰅔	ypks
U+30155	𰅕	taks
U+30156	𰅖	mvks
U+30157	𰅗	kshhq
U+30158	𰅘	bsjmf
U+30159	𰅙	mthgs
U+3015A	𰅚	kriop
U+3015B	𰅛	pc
U+3015C	𰅜	phws
U+3015D	𰅝	nupi
U+3015D	𰅝	nupm
U+3015E	𰅞	okpru
U+3015E	𰅞	okpsu
U+3015F	𰅟	putc
U+30160	𰅠	kipru
U+30161	𰅡	dhp
U+30162	𰅢	ppno
U+30163	𰅣	julmp
U+30164	𰅤	shd
U+30165	𰅥	sjnk
U+30166	𰅦	scwj
U+30167	𰅧	sdbu
U+30168	𰅨	sjjl
U+30169	𰅩	shoc
U+3016A	𰅪	sje
U+3016B	𰅫	snil
U+3016C	𰅬	srde
U+3016D	𰅭	cj
U+3016E	𰅮	nsj
U+3016F	𰅯	nnnj
U+30170	𰅰	jblm
U+30171	𰅱	ukj
U+30172	𰅲	ptj
U+30173	𰅳	kcj
U+30174	𰅴	jbk
U+30175	𰅵	pukj
U+30176	𰅶	jrau
U+30177	𰅷	jvvm
U+30178	𰅸	jsmv
U+30179	𰅹	jmee
